date,sell,buy,sell_ma7,sell_ma30,sell_ma365,price_change_pct,sell_volatility_30,day_of_week,quarter,month
2018-02-09,6060.0,5760.0,7677.142857142857,7080.0,7707.890410958904,0.0,1529.6247004209586,4,1,2
2018-02-10,6060.0,5760.0,7272.857142857143,6942.666666666667,7697.808219178082,0.0,1422.9327008907844,5,1,2
2018-02-11,6060.0,5760.0,6868.571428571428,6805.333333333333,7687.726027397261,0.0,1292.5562305738872,6,1,2
2018-02-12,6060.0,5760.0,6464.285714285715,6668.0,7677.643835616438,0.0,1130.329216613906,0,1,2
2018-02-13,6060.0,5760.0,6060.0,6665.666666666667,7667.561643835616,0.0,1131.5496951719133,1,1,2
2018-02-14,6060.0,5760.0,6060.0,6663.333333333333,7657.479452054795,0.0,1132.763886689754,2,1,2
2018-02-15,6060.0,5760.0,6060.0,6661.0,7647.397260273972,0.0,1133.9718113628262,3,1,2
2018-02-16,6060.0,5760.0,6060.0,6658.666666666667,7637.315068493151,0.0,1135.1734891965566,4,1,2
2018-02-17,6060.0,5760.0,6060.0,6656.333333333333,7627.232876712329,0.0,1136.3689400085098,5,1,2
2018-02-18,6060.0,5760.0,6060.0,6654.0,7617.1506849315065,0.0,1137.5581834304685,6,1,2
2018-02-19,6060.0,5760.0,6060.0,6651.666666666667,7607.068493150685,0.0,1138.7412389104798,0,1,2
2018-02-20,6060.0,5760.0,6060.0,6649.333333333333,7596.986301369863,0.0,1139.9181257148714,1,1,2
2018-02-21,6150.0,5850.0,6072.857142857143,6650.0,7587.1506849315065,1.4851485148514865,1139.6097335612567,2,1,2
2018-02-22,6150.0,5850.0,6085.714285714285,6650.666666666667,7577.315068493151,0.0,1139.3008543758676,3,1,2
2018-02-23,6150.0,5850.0,6098.571428571428,6651.333333333333,7567.479452054795,0.0,1138.9914877624742,4,1,2
2018-02-24,6150.0,5820.0,6111.428571428572,6652.0,7557.643835616438,0.0,1138.6816333237916,5,1,2
2018-02-25,6150.0,5820.0,6124.285714285715,6652.666666666667,7547.808219178082,0.0,1138.3712906614746,6,1,2
2018-02-26,6150.0,5820.0,6137.142857142857,6653.333333333333,7537.972602739726,0.0,1138.0604593761154,0,1,2
2018-02-27,6150.0,5820.0,6150.0,6654.0,7528.13698630137,0.0,1137.7491390672412,1,1,2
2018-02-28,6150.0,5820.0,6150.0,6654.666666666667,7518.301369863014,0.0,1137.43732933331,2,1,2
2018-03-01,6160.0,5830.0,6151.428571428572,6655.666666666667,7508.493150684932,0.1626016260162677,1136.973245472167,3,1,3
2018-03-02,6140.0,5800.0,6150.0,6656.0,7498.630136986301,-0.32467532467532756,1136.8152732600024,4,1,3
2018-03-03,6140.0,5800.0,6148.571428571428,6564.333333333333,7488.767123287671,0.0,1058.651332440541,5,1,3
2018-03-04,6150.0,5810.0,6148.571428571428,6473.0,7478.931506849315,0.16286644951140072,965.1555172166628,6,1,3
2018-03-05,6170.0,5840.0,6151.428571428572,6382.333333333333,7469.1506849315065,0.3252032520325132,851.3181800467618,0,1,3
2018-03-06,6160.0,5840.0,6152.857142857143,6291.333333333333,7459.342465753424,-0.16207455429497752,707.841465463739,1,1,3
2018-03-07,6200.0,5880.0,6160.0,6201.666666666667,7449.643835616438,0.6493506493506551,510.04451011536054,2,1,3
2018-03-08,6180.0,5850.0,6162.857142857143,6111.333333333333,7439.890410958904,-0.3225806451612856,50.08498524601027,3,1,3
2018-03-09,6170.0,5850.0,6167.142857142857,6115.0,7430.109589041096,-0.16181229773463146,50.223637792080694,4,1,3
2018-03-10,6170.0,5850.0,6171.428571428572,6118.666666666667,7420.328767123287,0.0,50.08498524601106,5,1,3
2018-03-11,6170.0,5850.0,6174.285714285715,6122.333333333333,7410.54794520548,0.0,49.6667052376353,6,1,3
2018-03-12,6180.0,5850.0,6175.714285714285,6126.333333333333,7400.7945205479455,0.16207455429497752,49.304356198987854,0,1,3
2018-03-13,6180.0,5850.0,6178.571428571428,6130.333333333333,7391.041095890411,0.0,48.599938507732006,1,1,3
2018-03-14,6180.0,5850.0,6175.714285714285,6134.333333333333,7381.287671232877,0.0,47.538248363166794,2,1,3
2018-03-15,6110.0,5830.0,6165.714285714285,6136.0,7371.342465753424,-1.132686084142398,45.68256288444225,3,1,3
2018-03-16,6090.0,5810.0,6154.285714285715,6137.0,7361.342465753424,-0.327332242225864,44.267992640063156,4,1,3
2018-03-17,6090.0,5810.0,6142.857142857143,6138.0,7351.342465753424,0.0,42.78252946651365,5,1,3
2018-03-18,6090.0,5810.0,6131.428571428572,6139.0,7341.342465753424,0.0,41.2185094006114,6,1,3
2018-03-19,6130.0,5830.0,6124.285714285715,6141.333333333333,7331.45205479452,0.6568144499178974,38.48271742219899,0,1,3
2018-03-20,6140.0,5830.0,6118.571428571428,6144.0,7321.58904109589,0.16313213703098572,35.29188633873614,1,1,3
2018-03-21,6110.0,5810.0,6108.571428571428,6145.666666666667,7311.643835616438,-0.48859934853420217,32.236553821179925,2,1,3
2018-03-22,6120.0,5820.0,6110.0,6147.666666666667,7301.726027397261,0.16366612111293755,28.36745747586771,3,1,3
2018-03-23,6100.0,5800.0,6111.428571428572,6146.0,7291.753424657534,-0.32679738562091387,29.664793947826155,4,1,3
2018-03-24,6100.0,5800.0,6112.857142857143,6144.333333333333,7281.780821917808,0.0,30.814610655531947,5,1,3
2018-03-25,6100.0,5800.0,6114.285714285715,6142.666666666667,7271.808219178082,0.0,31.832897029649708,6,1,3
2018-03-26,6100.0,5800.0,6110.0,6141.0,7261.835616438356,0.0,32.73193105076077,0,1,3
2018-03-27,6110.0,5810.0,6105.714285714285,6139.666666666667,7251.890410958904,0.16393442622950616,33.164515033966346,1,1,3
2018-03-28,6130.0,5830.0,6108.571428571428,6139.0,7242.0,0.3273322422258529,33.15064882032156,2,1,3
2018-03-29,6150.0,5850.0,6112.857142857143,6139.0,7232.164383561644,0.32626427406199365,33.15064882032156,3,1,3
2018-03-30,6170.0,5850.0,6122.857142857143,6139.666666666667,7231.917808219178,0.3252032520325132,33.57783888719956,4,1,3
2018-03-31,6170.0,5850.0,6132.857142857143,6140.0,7231.671232876713,0.0,33.83530088788654,5,1,3
2018-04-01,6170.0,5850.0,6142.857142857143,6141.0,7231.424657534247,0.0,34.27575799561297,6,2,4
2018-04-02,6200.0,5880.0,6157.142857142857,6143.0,7231.260273972603,0.4862236628849326,35.92616950273667,0,2,4
2018-04-03,6180.0,5880.0,6167.142857142857,6144.0,7231.041095890411,-0.3225806451612856,36.54001113519353,1,2,4
2018-04-04,6120.0,5850.0,6165.714285714285,6142.333333333333,7230.657534246576,-0.9708737864077666,36.45340278601697,2,2,4
2018-04-05,6150.0,5850.0,6165.714285714285,6142.0,7230.356164383562,0.4901960784313708,36.33180424871497,3,2,4
2018-04-06,6110.0,5820.0,6157.142857142857,6139.0,7229.945205479452,-0.6504065040650375,35.07135583302868,4,2,4
2018-04-07,6110.0,5820.0,6148.571428571428,6136.666666666667,7229.534246575343,0.0,34.574590363697276,5,2,4
